137 0 0 0 
2 13 9 0 6 
9 13 8 0 17 
3 13 3 1 1 
0 0 6 1 2 
9 0 8 1 6 
9 0 8 1 7 
9 0 8 1 8 
9 0 8 1 9 
99 0 7 1 11 
0 0 4 1 17 
0 13 6 2 2 
9 0 8 2 5 
9 1 8 2 6 
9 2 8 2 7 
9 1 8 2 8 
9 1 8 2 9 
9 0 8 2 10 
99 13 7 2 11 
9 0 8 2 12 
9 2 8 2 13 
2 13 9 2 18 
0 6 6 2 19 
10 10 0 3 3 
10 0 0 3 4 
9 6 8 3 5 
9 2 8 3 6 
9 0 8 3 7 
9 2 8 3 8 
9 2 8 3 9 
9 13 8 3 10 
9 1 8 3 11 
9 1 8 3 12 
9 0 8 3 13 
9 0 8 3 14 
9 0 8 4 4 
9 1 8 4 5 
9 3 8 4 6 
9 3 8 4 7 
9 5 8 4 8 
9 1 8 4 9 
9 5 8 4 10 
9 7 8 4 11 
9 3 8 4 12 
9 0 8 4 13 
9 0 8 4 14 
9 9 8 5 0 
9 2 8 5 3 
9 0 8 5 4 
9 0 8 5 5 
9 1 8 5 6 
9 4 8 5 7 
9 13 8 5 8 
9 2 8 5 9 
9 3 8 5 10 
9 2 8 5 11 
9 2 8 5 12 
9 1 8 5 13 
9 1 8 5 14 
9 0 8 5 15 
2 13 9 6 1 
9 3 8 6 3 
9 1 8 6 4 
9 13 8 6 5 
9 5 8 6 6 
9 1 8 6 7 
9 2 8 6 8 
9 6 8 6 9 
9 2 8 6 10 
9 3 8 6 11 
9 3 8 6 12 
9 5 8 6 13 
9 2 8 6 14 
9 2 8 6 15 
9 0 8 6 16 
9 0 8 7 3 
9 1 8 7 4 
9 2 8 7 5 
9 1 8 7 6 
9 3 8 7 7 
9 5 8 7 8 
9 4 8 7 9 
9 2 8 7 10 
9 7 8 7 11 
9 13 8 7 12 
9 4 8 7 13 
9 3 8 7 14 
9 0 8 7 15 
99 13 7 7 16 
9 0 8 7 17 
9 0 8 8 4 
9 3 8 8 5 
9 1 8 8 7 
9 0 8 8 8 
9 1 8 8 9 
9 6 8 8 10 
9 8 8 8 11 
9 6 8 8 12 
9 2 8 8 13 
9 6 8 8 14 
9 7 8 8 15 
9 13 8 8 16 
9 2 8 8 17 
10 9 0 9 0 
10 0 0 9 1 
4 13 10 9 4 
9 4 8 9 5 
9 3 8 9 7 
9 3 8 9 10 
9 6 8 9 11 
9 3 8 9 12 
9 4 8 9 13 
9 2 8 9 14 
9 2 8 9 15 
9 13 8 9 16 
9 1 8 9 18 
10 0 0 10 0 
9 1 8 10 8 
9 2 8 10 9 
9 2 8 10 11 
9 2 8 10 12 
9 5 8 10 13 
9 1 8 10 14 
9 1 8 10 15 
9 1 8 10 16 
9 1 8 10 17 
0 0 4 11 9 
9 6 8 11 10 
9 1 8 11 13 
9 3 8 11 14 
9 0 8 11 15 
9 0 8 11 16 
9 0 8 12 9 
9 1 8 12 10 
9 2 8 12 11 
9 1 8 12 13 
9 0 8 12 14 
10 13 0 12 15 
10 0 0 12 16 
10 13 0 13 3 
9 0 8 13 10 
0 8 4 13 14 
0 0 4 13 19 
4 13 10 14 9 
9 1 8 14 11 
0 13 4 14 19 
9 13 8 15 7 
4 8 10 15 8 
4 0 10 15 9 
10 11 0 15 14 
3 13 3 15 18 
4 13 10 16 11 
4 3 10 17 11 
10 8 0 17 12 
10 4 0 18 2 
0 10 2 18 12 
4 13 5 18 14 
4 8 10 19 3 
4 7 10 19 8 
